Likes,Views
7385,132072
3586,108055
5638,255839
184,1954
282,9401
478,31657
358,4639
4248,154901
1818,27676
1916,61195
91267,5210940
5409,378563
332,49591
4144389,425478119
4706,164331
4976,151259
1111,189956
8520,184475
13488,307938
3464,276221
29026,425880
3227,281839
274209,7544821
3362,142040
17728,356678
2707,169562
3102,229928
38261,2644603
2254,282480
2374,29780
245113,4876825
3216,62815
2839,228752
2330,25865
3908,174482
11148,425073
2949,38520
1194,34954
416,43591
52147,2343365
472660,14296001
1046404,34484565
36387,2530836
16445558,4034122271
269,8064
234520,14269018
193174,26160434
261832,8496353
33213,2017263
49192,2009963
99436,3934199
8383,9826182
102993,2568894
53545,1711823
197069,4676492
107571,6123730
11474,374525
51098,9914057
29265,2006133
237800,9277945
56392,3457355
20365,1576038
38810,1837300
88325,15836037
100232,2313225
3984,293379
55521,1325826
2991,4056267
199265,4012930
1,6515548
5812,125307
712,13043
7636,136526
1099,28386
349923,122994457
23574,1033764
135952,32300300
169669,239207161
48525,2158052
3823,212395
124675,20026987
17526,199416
23558,587218
179,24650
1011,34941
203216,10786819
19712,679025
57500,1502125
155712,7958011
82405,7825074
120513,4613254
14658,507836
98688,4271973
1265,53087
223844,5847791
249384,3593833
454863,22529756
116385,5132684
130176,5923959
469,19622
19630,621093
59933,2117474
493471,12382988
14566,270284
32009,1693731
878,37711
16414,782934
38397,3114396
14211,409554
15576,427945
189,7487
1827,120365
33967,1187250
14030,544895
76431,3463977
7850,240428
97646,8339001
97,4976
37455,2199261
16646,1010630
19583,1686785
22624,565863
17160,1118396
316652,5850945
52635,2884100
978,92841
25287,1545582
1500,44809
212578,10730641
2936,195618
15301,520431
242,2587
52335,2399810
5512,411015
1449,70483
6002,305772
2644,127748
5762,132646
5400589,434352213
738439,66368842
96563,8946712
8912,164869
1542,39193
41389,10275325
31479,2468059
5471653,147339243
10415,1045028
5424,293213
10380,1695814
47683,5399988
160,8135
1507,95369
26849,2666406
11595,1487029
14800,280369
213630,9024180
16874,1687706
72348,3046581
702117,22100487
1811,79531
9669,1008972
20363,708445
12009,1135106
4066,72885
20018,821480
56485,5464252
29974,1453787
1313,51321
